year,doe
1952,75
"1,953",81
"1,954",87
"1,955",79
"1,956",90
"1,957",73
"1,958",85
"1,959",77
"1,960",81
"1,961",65
"1,962",81
"1,963",83
"1,964",79
"1,965",90
"1,966",69
"1,967",75
"1,968",80
"1,969",85
"1,970",85
"1,971",99
"1,972",93
"1,973",82
"1,974",87
"1,975",90
"1,976",83
"1,977",76
"1,978",92
"1,979",100
"1,980",92
"1,981",92
"1,982",89
"1,983",89
"1,984",96
"1,985",85
"1,986",93
"1,987",83
"1,988",79
"1,989",76
"1,990",71
"1,991",88
"1,992",85
"1,993",82
"1,994",83
"1,995",81
"1,996",91
"1,997",79
"1,998",78
"1,999",87
"2,000",78
"2,001",87
"2,002",82
"2,003",85
"2,003",85
2004,86
