"IDitin","IDesp","Any","Date","Nindiv","longitud","LAT","LNG"
"1","piepra","1996","31/7/1996",19,4296,42.2191481799,3.09380865436
"1","piepra","2000","13/4/2000",7,4296,42.2191481799,3.09380865436
"1","piepra","1997","1/10/1997",32,4296,42.2191481799,3.09380865436
"1","piepra","2002","16/9/2002",17,4296,42.2191481799,3.09380865436
"1","piepra","1998","1/10/1998",3,4296,42.2191481799,3.09380865436
"1","piepra","2009","2/7/2009",110,4296,42.2191481799,3.09380865436
"1","piepra","2020","1/5/2020",13,4296,42.2191481799,3.09380865436
"1","piepra","2018","6/8/2018",3,4296,42.2191481799,3.09380865436
"1","piepra","2004","7/5/2004",1,4296,42.2191481799,3.09380865436
"1","piepra","1993","11/5/1993",1,4296,42.2191481799,3.09380865436
"1","piepra","2005","16/9/2005",4,4296,42.2191481799,3.09380865436
"1","piepra","2017","29/3/2017",16,4296,42.2191481799,3.09380865436
"1","piepra","1988","10/9/1988",1,4296,42.2191481799,3.09380865436
"1","piepra","2013","22/7/2013",119,4296,42.2191481799,3.09380865436
"1","piepra","2019","8/3/2019",11,4296,42.2191481799,3.09380865436
"1","piepra","2006","11/5/2006",10,4296,42.2191481799,3.09380865436
"1","piepra","2019","30/8/2019",3,4296,42.2191481799,3.09380865436
"1","piepra","2021","19/8/2021",2,4296,42.2191481799,3.09380865436
"1","piepra","1999","1/10/1999",6,4296,42.2191481799,3.09380865436
"1","piepra","2021","23/7/2021",8,4296,42.2191481799,3.09380865436
"1","piepra","2007","2/5/2007",11,4296,42.2191481799,3.09380865436
"1","piepra","2002","5/4/2002",17,4296,42.2191481799,3.09380865436
"1","piepra","2021","5/7/2021",66,4296,42.2191481799,3.09380865436
"1","piepra","2019","29/3/2019",11,4296,42.2191481799,3.09380865436
"1","piepra","2007","11/6/2007",64,4296,42.2191481799,3.09380865436
"1","piepra","1996","19/9/1996",9,4296,42.2191481799,3.09380865436
"1","piepra","1988","14/8/1988",13,4296,42.2191481799,3.09380865436
"1","piepra","1993","18/3/1993",2,4296,42.2191481799,3.09380865436
"1","piepra","2002","10/9/2002",14,4296,42.2191481799,3.09380865436
"1","piepra","2017","13/6/2017",45,4296,42.2191481799,3.09380865436
"1","piepra","2015","20/8/2015",3,4296,42.2191481799,3.09380865436
"1","piepra","1988","19/4/1988",6,4296,42.2191481799,3.09380865436
"1","piepra","1996","18/3/1996",1,4296,42.2191481799,3.09380865436
"1","piepra","1999","1/3/1999",5,4296,42.2191481799,3.09380865436
"1","piepra","1998","14/8/1998",9,4296,42.2191481799,3.09380865436
"1","piepra","2014","15/8/2014",4,4296,42.2191481799,3.09380865436
"1","piepra","2001","1/3/2001",2,4296,42.2191481799,3.09380865436
"1","piepra","2001","23/3/2001",12,4296,42.2191481799,3.09380865436
"1","piepra","2013","2/7/2013",43,4296,42.2191481799,3.09380865436
"1","piepra","2013","26/5/2013",8,4296,42.2191481799,3.09380865436
"1","piepra","2021","29/3/2021",4,4296,42.2191481799,3.09380865436
"1","piepra","1988","30/4/1988",6,4296,42.2191481799,3.09380865436
"1","piepra","2010","23/3/2010",5,4296,42.2191481799,3.09380865436
"1","piepra","2007","9/5/2007",14,4296,42.2191481799,3.09380865436
"1","piepra","2010","12/6/2010",47,4296,42.2191481799,3.09380865436
"1","piepra","2009","16/9/2009",8,4296,42.2191481799,3.09380865436
"1","piepra","1994","23/8/1994",4,4296,42.2191481799,3.09380865436
"1","piepra","1997","15/4/1997",5,4296,42.2191481799,3.09380865436
"1","piepra","2002","18/6/2002",64,4296,42.2191481799,3.09380865436
"1","piepra","2010","1/3/2010",1,4296,42.2191481799,3.09380865436
"1","piepra","2002","28/5/2002",15,4296,42.2191481799,3.09380865436
"1","piepra","2001","6/4/2001",12,4296,42.2191481799,3.09380865436
"1","piepra","2008","17/7/2008",60,4296,42.2191481799,3.09380865436
"1","piepra","2018","15/8/2018",4,4296,42.2191481799,3.09380865436
"1","piepra","2006","19/4/2006",14,4296,42.2191481799,3.09380865436
"1","piepra","1995","3/8/1995",58,4296,42.2191481799,3.09380865436
"1","piepra","2003","28/5/2003",20,4296,42.2191481799,3.09380865436
"1","piepra","1988","10/4/1988",8,4296,42.2191481799,3.09380865436
"1","piepra","1995","18/10/1995",12,4296,42.2191481799,3.09380865436
"1","piepra","2003","8/9/2003",2,4296,42.2191481799,3.09380865436
"1","piepra","2009","17/7/2009",32,4296,42.2191481799,3.09380865436
"1","piepra","2005","5/8/2005",14,4296,42.2191481799,3.09380865436
"1","piepra","2004","15/4/2004",7,4296,42.2191481799,3.09380865436
"1","piepra","1998","21/7/1998",17,4296,42.2191481799,3.09380865436
"1","piepra","1999","21/7/1999",34,4296,42.2191481799,3.09380865436
"1","piepra","2006","23/8/2006",1,4296,42.2191481799,3.09380865436
"1","piepra","2013","9/5/2013",3,4296,42.2191481799,3.09380865436
"1","piepra","1994","6/9/1994",2,4296,42.2191481799,3.09380865436
"1","piepra","2003","29/4/2003",9,4296,42.2191481799,3.09380865436
"1","piepra","1995","6/9/1995",28,4296,42.2191481799,3.09380865436
"1","piepra","2000","10/7/2000",22,4296,42.2191481799,3.09380865436
"1","piepra","2013","16/9/2013",3,4296,42.2191481799,3.09380865436
"1","piepra","1999","23/6/1999",63,4296,42.2191481799,3.09380865436
"1","piepra","2003","1/8/2003",11,4296,42.2191481799,3.09380865436
"1","piepra","2014","20/6/2014",16,4296,42.2191481799,3.09380865436
"1","piepra","2004","16/7/2004",151,4296,42.2191481799,3.09380865436
"1","piepra","2007","29/6/2007",89,4296,42.2191481799,3.09380865436
"1","piepra","1996","19/4/1996",18,4296,42.2191481799,3.09380865436
"1","piepra","2008","10/4/2008",5,4296,42.2191481799,3.09380865436
"1","piepra","2000","16/5/2000",13,4296,42.2191481799,3.09380865436
"1","piepra","2019","23/3/2019",22,4296,42.2191481799,3.09380865436
"1","piepra","2013","12/6/2013",38,4296,42.2191481799,3.09380865436
"1","piepra","2008","29/4/2008",3,4296,42.2191481799,3.09380865436
"1","piepra","2010","19/4/2010",20,4296,42.2191481799,3.09380865436
"1","piepra","2015","12/8/2015",1,4296,42.2191481799,3.09380865436
"1","piepra","2019","1/3/2019",2,4296,42.2191481799,3.09380865436
"1","piepra","1988","24/9/1988",9,4296,42.2191481799,3.09380865436
"1","piepra","2015","4/7/2015",2,4296,42.2191481799,3.09380865436
"1","piepra","2009","29/4/2009",6,4296,42.2191481799,3.09380865436
"1","piepra","2014","27/3/2014",8,4296,42.2191481799,3.09380865436
"1","piepra","1995","31/10/1995",4,4296,42.2191481799,3.09380865436
"1","piepra","1993","15/9/1993",7,4296,42.2191481799,3.09380865436
"1","piepra","2011","19/4/2011",6,4296,42.2191481799,3.09380865436
"1","piepra","1995","31/3/1995",5,4296,42.2191481799,3.09380865436
"1","piepra","1997","31/10/1997",3,4296,42.2191481799,3.09380865436
"1","piepra","2014","12/6/2014",29,4296,42.2191481799,3.09380865436
"1","piepra","2006","21/7/2006",13,4296,42.2191481799,3.09380865436
"1","piepra","2010","6/9/2010",3,4296,42.2191481799,3.09380865436
"1","piepra","1995","21/7/1995",69,4296,42.2191481799,3.09380865436
"1","piepra","2010","29/6/2010",30,4296,42.2191481799,3.09380865436
"1","piepra","2013","23/8/2013",5,4296,42.2191481799,3.09380865436
"1","piepra","2017","4/7/2017",17,4296,42.2191481799,3.09380865436
"1","piepra","2009","5/6/2009",32,4296,42.2191481799,3.09380865436
"1","piepra","2021","13/4/2021",5,4296,42.2191481799,3.09380865436
"1","piepra","2022","23/3/2022",16,4296,42.2191481799,3.09380865436
"1","piepra","2000","22/8/2000",12,4296,42.2191481799,3.09380865436
"1","piepra","1998","1/7/1998",55,4296,42.2191481799,3.09380865436
"1","piepra","2002","20/9/2002",24,4296,42.2191481799,3.09380865436
"1","piepra","2019","16/9/2019",2,4296,42.2191481799,3.09380865436
"1","piepra","2016","23/8/2016",3,4296,42.2191481799,3.09380865436
"1","piepra","1993","29/7/1993",18,4296,42.2191481799,3.09380865436
"1","piepra","2013","3/8/2013",36,4296,42.2191481799,3.09380865436
"1","piepra","1997","8/7/1997",7,4296,42.2191481799,3.09380865436
"1","piepra","2022","1/3/2022",3,4296,42.2191481799,3.09380865436
"1","piepra","2010","21/7/2010",62,4296,42.2191481799,3.09380865436
"1","piepra","1995","2/6/1995",15,4296,42.2191481799,3.09380865436
"1","piepra","2014","5/8/2014",3,4296,42.2191481799,3.09380865436
"1","piepra","2004","10/7/2004",140,4296,42.2191481799,3.09380865436
"1","piepra","1994","13/7/1994",19,4296,42.2191481799,3.09380865436
"1","piepra","2005","31/3/2005",21,4296,42.2191481799,3.09380865436
"1","piepra","1995","13/7/1995",71,4296,42.2191481799,3.09380865436
"1","piepra","1999","9/6/1999",84,4296,42.2191481799,3.09380865436
"1","piepra","2016","10/4/2016",11,4296,42.2191481799,3.09380865436
"1","piepra","2015","3/8/2015",1,4296,42.2191481799,3.09380865436
"1","piepra","2005","25/5/2005",6,4296,42.2191481799,3.09380865436
"1","piepra","2006","31/3/2006",11,4296,42.2191481799,3.09380865436
